date,amount,description
8524-08-02,-3000,Rent payment
8524-09-05,-200,Grocery shopping
8524-11-03,-1000,Electricity bill
8524-12-07,2500,Client payment
8524-12-01,5000,Salary payment
8525-01-02,-3000,Rent payment
8525-02-05,-200,Grocery shopping
8525-04-03,-1000,Electricity bill
8525-05-07,2500,Client payment
8525-05-01,5000,Salary payment
8525-06-02,-3000,Rent payment
8525-07-05,-200,Grocery shopping
8525-09-03,-1000,Electricity bill
8525-10-07,2500,Client payment
8525-10-01,5000,Salary payment
8525-11-02,-3000,Rent payment
8525-12-05,-200,Grocery shopping
8526-02-03,-1000,Electricity bill
8526-03-07,2500,Client payment
8526-03-01,5000,Salary payment
8526-04-02,-3000,Rent payment
8526-05-05,-200,Grocery shopping
8526-07-03,-1000,Electricity bill
8526-08-07,2500,Client payment
8526-08-01,5000,Salary payment
8526-09-02,-3000,Rent payment
8526-10-05,-200,Grocery shopping
8526-12-03,-1000,Electricity bill
8527-01-07,2500,Client payment
8527-01-01,5000,Salary payment
8527-02-02,-3000,Rent payment
8527-03-05,-200,Grocery shopping
8527-05-03,-1000,Electricity bill
8527-06-07,2500,Client payment
8527-06-01,5000,Salary payment
8527-07-02,-3000,Rent payment
8527-08-05,-200,Grocery shopping
8527-10-03,-1000,Electricity bill
8527-11-07,2500,Client payment
8527-11-01,5000,Salary payment
8527-12-02,-3000,Rent payment
8528-01-05,-200,Grocery shopping
8528-03-03,-1000,Electricity bill
8528-04-07,2500,Client payment
8528-04-01,5000,Salary payment
8528-05-02,-3000,Rent payment
8528-06-05,-200,Grocery shopping
8528-08-03,-1000,Electricity bill
8528-09-07,2500,Client payment
8528-09-01,5000,Salary payment
8528-10-02,-3000,Rent payment
8528-11-05,-200,Grocery shopping
8529-01-03,-1000,Electricity bill
8529-02-07,2500,Client payment
8529-02-01,5000,Salary payment
8529-03-02,-3000,Rent payment
8529-04-05,-200,Grocery shopping
8529-06-03,-1000,Electricity bill
8529-07-07,2500,Client payment
8529-07-01,5000,Salary payment
8529-08-02,-3000,Rent payment
8529-09-05,-200,Grocery shopping
8529-11-03,-1000,Electricity bill
8529-12-07,2500,Client payment
8529-12-01,5000,Salary payment
8530-01-02,-3000,Rent payment
8530-02-05,-200,Grocery shopping
8530-04-03,-1000,Electricity bill
8530-05-07,2500,Client payment
8530-05-01,5000,Salary payment
8530-06-02,-3000,Rent payment
8530-07-05,-200,Grocery shopping
8530-09-03,-1000,Electricity bill
8530-10-07,2500,Client payment
8530-10-01,5000,Salary payment
8530-11-02,-3000,Rent payment
8530-12-05,-200,Grocery shopping
8531-02-03,-1000,Electricity bill
8531-03-07,2500,Client payment
8531-03-01,5000,Salary payment
8531-04-02,-3000,Rent payment
8531-05-05,-200,Grocery shopping
8531-07-03,-1000,Electricity bill
8531-08-07,2500,Client payment
8531-08-01,5000,Salary payment
8531-09-02,-3000,Rent payment
8531-10-05,-200,Grocery shopping
8531-12-03,-1000,Electricity bill
8532-01-07,2500,Client payment
8532-01-01,5000,Salary payment
8532-02-02,-3000,Rent payment
8532-03-05,-200,Grocery shopping
8532-05-03,-1000,Electricity bill
8532-06-07,2500,Client payment
8532-06-01,5000,Salary payment
8532-07-02,-3000,Rent payment
8532-08-05,-200,Grocery shopping
8532-10-03,-1000,Electricity bill
8532-11-07,2500,Client payment
8532-11-01,5000,Salary payment
8532-12-02,-3000,Rent payment
8533-01-05,-200,Grocery shopping
8533-03-03,-1000,Electricity bill
8533-04-07,2500,Client payment
8533-04-01,5000,Salary payment
8533-05-02,-3000,Rent payment
8533-06-05,-200,Grocery shopping
8533-08-03,-1000,Electricity bill
8533-09-07,2500,Client payment
8533-09-01,5000,Salary payment
8533-10-02,-3000,Rent payment
8533-11-05,-200,Grocery shopping
8534-01-03,-1000,Electricity bill
8534-02-07,2500,Client payment
8534-02-01,5000,Salary payment
8534-03-02,-3000,Rent payment
8534-04-05,-200,Grocery shopping
8534-06-03,-1000,Electricity bill
8534-07-07,2500,Client payment
8534-07-01,5000,Salary payment
8534-08-02,-3000,Rent payment
8534-09-05,-200,Grocery shopping
8534-11-03,-1000,Electricity bill
8534-12-07,2500,Client payment
8534-12-01,5000,Salary payment
8535-01-02,-3000,Rent payment
8535-02-05,-200,Grocery shopping
8535-04-03,-1000,Electricity bill
8535-05-07,2500,Client payment
8535-05-01,5000,Salary payment
8535-06-02,-3000,Rent payment
8535-07-05,-200,Grocery shopping
8535-09-03,-1000,Electricity bill
8535-10-07,2500,Client payment
8535-10-01,5000,Salary payment
8535-11-02,-3000,Rent payment
8535-12-05,-200,Grocery shopping
8536-02-03,-1000,Electricity bill
8536-03-07,2500,Client payment
8536-03-01,5000,Salary payment
8536-04-02,-3000,Rent payment
8536-05-05,-200,Grocery shopping
8536-07-03,-1000,Electricity bill
8536-08-07,2500,Client payment
8536-08-01,5000,Salary payment
8536-09-02,-3000,Rent payment
8536-10-05,-200,Grocery shopping
8536-12-03,-1000,Electricity bill
8537-01-07,2500,Client payment
8537-01-01,5000,Salary payment
8537-02-02,-3000,Rent payment
8537-03-05,-200,Grocery shopping
8537-05-03,-1000,Electricity bill
8537-06-07,2500,Client payment
8537-06-01,5000,Salary payment
8537-07-02,-3000,Rent payment
8537-08-05,-200,Grocery shopping
8537-10-03,-1000,Electricity bill
8537-11-07,2500,Client payment
8537-11-01,5000,Salary payment
8537-12-02,-3000,Rent payment
8538-01-05,-200,Grocery shopping
8538-03-03,-1000,Electricity bill
8538-04-07,2500,Client payment
8538-04-01,5000,Salary payment
8538-05-02,-3000,Rent payment
8538-06-05,-200,Grocery shopping
8538-08-03,-1000,Electricity bill
8538-09-07,2500,Client payment
8538-09-01,5000,Salary payment
8538-10-02,-3000,Rent payment
8538-11-05,-200,Grocery shopping
8539-01-03,-1000,Electricity bill
8539-02-07,2500,Client payment
8539-02-01,5000,Salary payment
8539-03-02,-3000,Rent payment
8539-04-05,-200,Grocery shopping
8539-06-03,-1000,Electricity bill
8539-07-07,2500,Client payment
8539-07-01,5000,Salary payment
8539-08-02,-3000,Rent payment
8539-09-05,-200,Grocery shopping
8539-11-03,-1000,Electricity bill
8539-12-07,2500,Client payment
8539-12-01,5000,Salary payment
8540-01-02,-3000,Rent payment
8540-02-05,-200,Grocery shopping
8540-04-03,-1000,Electricity bill
8540-05-07,2500,Client payment
8540-05-01,5000,Salary payment
8540-06-02,-3000,Rent payment
8540-07-05,-200,Grocery shopping
8540-09-03,-1000,Electricity bill
8540-10-07,2500,Client payment
8540-10-01,5000,Salary payment
8540-11-02,-3000,Rent payment
8540-12-05,-200,Grocery shopping
8541-02-03,-1000,Electricity bill
8541-03-07,2500,Client payment
8541-03-01,5000,Salary payment
8541-04-02,-3000,Rent payment
8541-05-05,-200,Grocery shopping
8541-07-03,-1000,Electricity bill
8541-08-07,2500,Client payment
8541-08-01,5000,Salary payment
8541-09-02,-3000,Rent payment
8541-10-05,-200,Grocery shopping
8541-12-03,-1000,Electricity bill
8542-01-07,2500,Client payment
8542-01-01,5000,Salary payment
8542-02-02,-3000,Rent payment
8542-03-05,-200,Grocery shopping
8542-05-03,-1000,Electricity bill
8542-06-07,2500,Client payment
8542-06-01,5000,Salary payment
8542-07-02,-3000,Rent payment
8542-08-05,-200,Grocery shopping
8542-10-03,-1000,Electricity bill
8542-11-07,2500,Client payment
8542-11-01,5000,Salary payment
8542-12-02,-3000,Rent payment
8543-01-05,-200,Grocery shopping
8543-03-03,-1000,Electricity bill
8543-04-07,2500,Client payment
8543-04-01,5000,Salary payment
8543-05-02,-3000,Rent payment
8543-06-05,-200,Grocery shopping
8543-08-03,-1000,Electricity bill
8543-09-07,2500,Client payment
8543-09-01,5000,Salary payment
8543-10-02,-3000,Rent payment
8543-11-05,-200,Grocery shopping
8544-01-03,-1000,Electricity bill
8544-02-07,2500,Client payment
8544-02-01,5000,Salary payment
8544-03-02,-3000,Rent payment
8544-04-05,-200,Grocery shopping
8544-06-03,-1000,Electricity bill
8544-07-07,2500,Client payment
8544-07-01,5000,Salary payment
8544-08-02,-3000,Rent payment
8544-09-05,-200,Grocery shopping
8544-11-03,-1000,Electricity bill
8544-12-07,2500,Client payment
8544-12-01,5000,Salary payment
8545-01-02,-3000,Rent payment
8545-02-05,-200,Grocery shopping
8545-04-03,-1000,Electricity bill
8545-05-07,2500,Client payment
8545-05-01,5000,Salary payment
8545-06-02,-3000,Rent payment
8545-07-05,-200,Grocery shopping
8545-09-03,-1000,Electricity bill
8545-10-07,2500,Client payment
8545-10-01,5000,Salary payment
8545-11-02,-3000,Rent payment
8545-12-05,-200,Grocery shopping
8546-02-03,-1000,Electricity bill
8546-03-07,2500,Client payment
8546-03-01,5000,Salary payment
8546-04-02,-3000,Rent payment
8546-05-05,-200,Grocery shopping
8546-07-03,-1000,Electricity bill
8546-08-07,2500,Client payment
8546-08-01,5000,Salary payment
8546-09-02,-3000,Rent payment
8546-10-05,-200,Grocery shopping
8546-12-03,-1000,Electricity bill
8547-01-07,2500,Client payment
8547-01-01,5000,Salary payment
8547-02-02,-3000,Rent payment
8547-03-05,-200,Grocery shopping
8547-05-03,-1000,Electricity bill
8547-06-07,2500,Client payment
8547-06-01,5000,Salary payment
8547-07-02,-3000,Rent payment
8547-08-05,-200,Grocery shopping
8547-10-03,-1000,Electricity bill
8547-11-07,2500,Client payment
8547-11-01,5000,Salary payment
8547-12-02,-3000,Rent payment
8548-01-05,-200,Grocery shopping
8548-03-03,-1000,Electricity bill
8548-04-07,2500,Client payment
8548-04-01,5000,Salary payment
8548-05-02,-3000,Rent payment
8548-06-05,-200,Grocery shopping
8548-08-03,-1000,Electricity bill
8548-09-07,2500,Client payment
8548-09-01,5000,Salary payment
8548-10-02,-3000,Rent payment
8548-11-05,-200,Grocery shopping
8549-01-03,-1000,Electricity bill
8549-02-07,2500,Client payment
8549-02-01,5000,Salary payment
8549-03-02,-3000,Rent payment
8549-04-05,-200,Grocery shopping
8549-06-03,-1000,Electricity bill
8549-07-07,2500,Client payment
8549-07-01,5000,Salary payment
8549-08-02,-3000,Rent payment
8549-09-05,-200,Grocery shopping
8549-11-03,-1000,Electricity bill
8549-12-07,2500,Client payment
8549-12-01,5000,Salary payment
8550-01-02,-3000,Rent payment
8550-02-05,-200,Grocery shopping
8550-04-03,-1000,Electricity bill
8550-05-07,2500,Client payment
8550-05-01,5000,Salary payment
8550-06-02,-3000,Rent payment
8550-07-05,-200,Grocery shopping
8550-09-03,-1000,Electricity bill
8550-10-07,2500,Client payment
8550-10-01,5000,Salary payment
8550-11-02,-3000,Rent payment
8550-12-05,-200,Grocery shopping
8551-02-03,-1000,Electricity bill
8551-03-07,2500,Client payment
8551-03-01,5000,Salary payment
8551-04-02,-3000,Rent payment
8551-05-05,-200,Grocery shopping
8551-07-03,-1000,Electricity bill
8551-08-07,2500,Client payment
8551-08-01,5000,Salary payment
8551-09-02,-3000,Rent payment
8551-10-05,-200,Grocery shopping
8551-12-03,-1000,Electricity bill
8552-01-07,2500,Client payment
8552-01-01,5000,Salary payment
8552-02-02,-3000,Rent payment
8552-03-05,-200,Grocery shopping
8552-05-03,-1000,Electricity bill
8552-06-07,2500,Client payment
8552-06-01,5000,Salary payment
8552-07-02,-3000,Rent payment
8552-08-05,-200,Grocery shopping
8552-10-03,-1000,Electricity bill
8552-11-07,2500,Client payment
8552-11-01,5000,Salary payment
8552-12-02,-3000,Rent payment
8553-01-05,-200,Grocery shopping
8553-03-03,-1000,Electricity bill
8553-04-07,2500,Client payment
8553-04-01,5000,Salary payment
8553-05-02,-3000,Rent payment
8553-06-05,-200,Grocery shopping
8553-08-03,-1000,Electricity bill
8553-09-07,2500,Client payment
8553-09-01,5000,Salary payment
8553-10-02,-3000,Rent payment
8553-11-05,-200,Grocery shopping
8554-01-03,-1000,Electricity bill
8554-02-07,2500,Client payment
8554-02-01,5000,Salary payment
8554-03-02,-3000,Rent payment
8554-04-05,-200,Grocery shopping
8554-06-03,-1000,Electricity bill
8554-07-07,2500,Client payment
8554-07-01,5000,Salary payment
8554-08-02,-3000,Rent payment
8554-09-05,-200,Grocery shopping
8554-11-03,-1000,Electricity bill
8554-12-07,2500,Client payment
8554-12-01,5000,Salary payment
8555-01-02,-3000,Rent payment
8555-02-05,-200,Grocery shopping
8555-04-03,-1000,Electricity bill
8555-05-07,2500,Client payment
8555-05-01,5000,Salary payment
8555-06-02,-3000,Rent payment
8555-07-05,-200,Grocery shopping
8555-09-03,-1000,Electricity bill
8555-10-07,2500,Client payment
8555-10-01,5000,Salary payment
8555-11-02,-3000,Rent payment
8555-12-05,-200,Grocery shopping
8556-02-03,-1000,Electricity bill
8556-03-07,2500,Client payment
8556-03-01,5000,Salary payment
8556-04-02,-3000,Rent payment
8556-05-05,-200,Grocery shopping
8556-07-03,-1000,Electricity bill
8556-08-07,2500,Client payment
8556-08-01,5000,Salary payment
8556-09-02,-3000,Rent payment
8556-10-05,-200,Grocery shopping
8556-12-03,-1000,Electricity bill
8557-01-07,2500,Client payment
8557-01-01,5000,Salary payment
8557-02-02,-3000,Rent payment
8557-03-05,-200,Grocery shopping
8557-05-03,-1000,Electricity bill
8557-06-07,2500,Client payment
8557-06-01,5000,Salary payment
8557-07-02,-3000,Rent payment
8557-08-05,-200,Grocery shopping
8557-10-03,-1000,Electricity bill
8557-11-07,2500,Client payment
8557-11-01,5000,Salary payment
8557-12-02,-3000,Rent payment
8558-01-05,-200,Grocery shopping
8558-03-03,-1000,Electricity bill
8558-04-07,2500,Client payment
8558-04-01,5000,Salary payment
8558-05-02,-3000,Rent payment
8558-06-05,-200,Grocery shopping
8558-08-03,-1000,Electricity bill
8558-09-07,2500,Client payment
8558-09-01,5000,Salary payment
8558-10-02,-3000,Rent payment
8558-11-05,-200,Grocery shopping
8559-01-03,-1000,Electricity bill
8559-02-07,2500,Client payment
8559-02-01,5000,Salary payment
8559-03-02,-3000,Rent payment
8559-04-05,-200,Grocery shopping
8559-06-03,-1000,Electricity bill
8559-07-07,2500,Client payment
8559-07-01,5000,Salary payment
8559-08-02,-3000,Rent payment
8559-09-05,-200,Grocery shopping
8559-11-03,-1000,Electricity bill
8559-12-07,2500,Client payment
8559-12-01,5000,Salary payment
8560-01-02,-3000,Rent payment
8560-02-05,-200,Grocery shopping
8560-04-03,-1000,Electricity bill
8560-05-07,2500,Client payment
8560-05-01,5000,Salary payment
8560-06-02,-3000,Rent payment
8560-07-05,-200,Grocery shopping
8560-09-03,-1000,Electricity bill
8560-10-07,2500,Client payment
8560-10-01,5000,Salary payment
8560-11-02,-3000,Rent payment
8560-12-05,-200,Grocery shopping
8561-02-03,-1000,Electricity bill
8561-03-07,2500,Client payment
8561-03-01,5000,Salary payment
8561-04-02,-3000,Rent payment
8561-05-05,-200,Grocery shopping
8561-07-03,-1000,Electricity bill
8561-08-07,2500,Client payment
8561-08-01,5000,Salary payment
8561-09-02,-3000,Rent payment
8561-10-05,-200,Grocery shopping
8561-12-03,-1000,Electricity bill
8562-01-07,2500,Client payment
8562-01-01,5000,Salary payment
8562-02-02,-3000,Rent payment
8562-03-05,-200,Grocery shopping
8562-05-03,-1000,Electricity bill
8562-06-07,2500,Client payment
8562-06-01,5000,Salary payment
8562-07-02,-3000,Rent payment
8562-08-05,-200,Grocery shopping
8562-10-03,-1000,Electricity bill
8562-11-07,2500,Client payment
8562-11-01,5000,Salary payment
8562-12-02,-3000,Rent payment
8563-01-05,-200,Grocery shopping
8563-03-03,-1000,Electricity bill
8563-04-07,2500,Client payment
8563-04-01,5000,Salary payment
8563-05-02,-3000,Rent payment
8563-06-05,-200,Grocery shopping
8563-08-03,-1000,Electricity bill
8563-09-07,2500,Client payment
8563-09-01,5000,Salary payment
8563-10-02,-3000,Rent payment
8563-11-05,-200,Grocery shopping
8564-01-03,-1000,Electricity bill
8564-02-07,2500,Client payment
8564-02-01,5000,Salary payment
8564-03-02,-3000,Rent payment
8564-04-05,-200,Grocery shopping
8564-06-03,-1000,Electricity bill
8564-07-07,2500,Client payment
8564-07-01,5000,Salary payment
8564-08-02,-3000,Rent payment
8564-09-05,-200,Grocery shopping
8564-11-03,-1000,Electricity bill
8564-12-07,2500,Client payment
8564-12-01,5000,Salary payment
8565-01-02,-3000,Rent payment
8565-02-05,-200,Grocery shopping
8565-04-03,-1000,Electricity bill
8565-05-07,2500,Client payment
8565-05-01,5000,Salary payment
8565-06-02,-3000,Rent payment
8565-07-05,-200,Grocery shopping
8565-09-03,-1000,Electricity bill
8565-10-07,2500,Client payment
8565-10-01,5000,Salary payment
8565-11-02,-3000,Rent payment
8565-12-05,-200,Grocery shopping
8566-02-03,-1000,Electricity bill
8566-03-07,2500,Client payment
8566-03-01,5000,Salary payment
8566-04-02,-3000,Rent payment
8566-05-05,-200,Grocery shopping
8566-07-03,-1000,Electricity bill
8566-08-07,2500,Client payment
8566-08-01,5000,Salary payment
8566-09-02,-3000,Rent payment
8566-10-05,-200,Grocery shopping
8566-12-03,-1000,Electricity bill
8567-01-07,2500,Client payment
8567-01-01,5000,Salary payment
8567-02-02,-3000,Rent payment
8567-03-05,-200,Grocery shopping
8567-05-03,-1000,Electricity bill
8567-06-07,2500,Client payment
8567-06-01,5000,Salary payment
8567-07-02,-3000,Rent payment
8567-08-05,-200,Grocery shopping
8567-10-03,-1000,Electricity bill
8567-11-07,2500,Client payment
8567-11-01,5000,Salary payment
8567-12-02,-3000,Rent payment
8568-01-05,-200,Grocery shopping
8568-03-03,-1000,Electricity bill
8568-04-07,2500,Client payment
8568-04-01,5000,Salary payment
8568-05-02,-3000,Rent payment
8568-06-05,-200,Grocery shopping
8568-08-03,-1000,Electricity bill
8568-09-07,2500,Client payment
8568-09-01,5000,Salary payment
8568-10-02,-3000,Rent payment
8568-11-05,-200,Grocery shopping
8569-01-03,-1000,Electricity bill
8569-02-07,2500,Client payment
8569-02-01,5000,Salary payment
8569-03-02,-3000,Rent payment
8569-04-05,-200,Grocery shopping
8569-06-03,-1000,Electricity bill
8569-07-07,2500,Client payment
8569-07-01,5000,Salary payment
8569-08-02,-3000,Rent payment
8569-09-05,-200,Grocery shopping
8569-11-03,-1000,Electricity bill
8569-12-07,2500,Client payment
8569-12-01,5000,Salary payment
8570-01-02,-3000,Rent payment
8570-02-05,-200,Grocery shopping
8570-04-03,-1000,Electricity bill
8570-05-07,2500,Client payment
8570-05-01,5000,Salary payment
8570-06-02,-3000,Rent payment
8570-07-05,-200,Grocery shopping
8570-09-03,-1000,Electricity bill
8570-10-07,2500,Client payment
8570-10-01,5000,Salary payment
8570-11-02,-3000,Rent payment
8570-12-05,-200,Grocery shopping
8571-02-03,-1000,Electricity bill
8571-03-07,2500,Client payment
8571-03-01,5000,Salary payment
8571-04-02,-3000,Rent payment
8571-05-05,-200,Grocery shopping
8571-07-03,-1000,Electricity bill
8571-08-07,2500,Client payment
8571-08-01,5000,Salary payment
8571-09-02,-3000,Rent payment
8571-10-05,-200,Grocery shopping
8571-12-03,-1000,Electricity bill
8572-01-07,2500,Client payment
8572-01-01,5000,Salary payment
8572-02-02,-3000,Rent payment
8572-03-05,-200,Grocery shopping
8572-05-03,-1000,Electricity bill
8572-06-07,2500,Client payment
8572-06-01,5000,Salary payment
8572-07-02,-3000,Rent payment
8572-08-05,-200,Grocery shopping
8572-10-03,-1000,Electricity bill
8572-11-07,2500,Client payment
8572-11-01,5000,Salary payment
8572-12-02,-3000,Rent payment
8573-01-05,-200,Grocery shopping
8573-03-03,-1000,Electricity bill
8573-04-07,2500,Client payment
8573-04-01,5000,Salary payment
8573-05-02,-3000,Rent payment
8573-06-05,-200,Grocery shopping
8573-08-03,-1000,Electricity bill
8573-09-07,2500,Client payment
8573-09-01,5000,Salary payment
8573-10-02,-3000,Rent payment
8573-11-05,-200,Grocery shopping
8574-01-03,-1000,Electricity bill
8574-02-07,2500,Client payment
8574-02-01,5000,Salary payment
8574-03-02,-3000,Rent payment
8574-04-05,-200,Grocery shopping
8574-06-03,-1000,Electricity bill
8574-07-07,2500,Client payment
8574-07-01,5000,Salary payment
8574-08-02,-3000,Rent payment
8574-09-05,-200,Grocery shopping
8574-11-03,-1000,Electricity bill
8574-12-07,2500,Client payment
8574-12-01,5000,Salary payment
8575-01-02,-3000,Rent payment
8575-02-05,-200,Grocery shopping
8575-04-03,-1000,Electricity bill
8575-05-07,2500,Client payment
8575-05-01,5000,Salary payment
8575-06-02,-3000,Rent payment
8575-07-05,-200,Grocery shopping
8575-09-03,-1000,Electricity bill
8575-10-07,2500,Client payment
8575-10-01,5000,Salary payment
8575-11-02,-3000,Rent payment
8575-12-05,-200,Grocery shopping
8576-02-03,-1000,Electricity bill
8576-03-07,2500,Client payment
8576-03-01,5000,Salary payment
8576-04-02,-3000,Rent payment
8576-05-05,-200,Grocery shopping
8576-07-03,-1000,Electricity bill
8576-08-07,2500,Client payment
8576-08-01,5000,Salary payment
8576-09-02,-3000,Rent payment
8576-10-05,-200,Grocery shopping
8576-12-03,-1000,Electricity bill
8577-01-07,2500,Client payment
8577-01-01,5000,Salary payment
8577-02-02,-3000,Rent payment
8577-03-05,-200,Grocery shopping
8577-05-03,-1000,Electricity bill
8577-06-07,2500,Client payment
8577-06-01,5000,Salary payment
8577-07-02,-3000,Rent payment
8577-08-05,-200,Grocery shopping
8577-10-03,-1000,Electricity bill
8577-11-07,2500,Client payment
8577-11-01,5000,Salary payment
8577-12-02,-3000,Rent payment
8578-01-05,-200,Grocery shopping
8578-03-03,-1000,Electricity bill
8578-04-07,2500,Client payment
8578-04-01,5000,Salary payment
8578-05-02,-3000,Rent payment
8578-06-05,-200,Grocery shopping
8578-08-03,-1000,Electricity bill
8578-09-07,2500,Client payment
8578-09-01,5000,Salary payment
8578-10-02,-3000,Rent payment
8578-11-05,-200,Grocery shopping
8579-01-03,-1000,Electricity bill
8579-02-07,2500,Client payment
8579-02-01,5000,Salary payment
8579-03-02,-3000,Rent payment
8579-04-05,-200,Grocery shopping
8579-06-03,-1000,Electricity bill
8579-07-07,2500,Client payment
8579-07-01,5000,Salary payment
8579-08-02,-3000,Rent payment
8579-09-05,-200,Grocery shopping
8579-11-03,-1000,Electricity bill
8579-12-07,2500,Client payment
8579-12-01,5000,Salary payment
8580-01-02,-3000,Rent payment
8580-02-05,-200,Grocery shopping
8580-04-03,-1000,Electricity bill
8580-05-07,2500,Client payment
8580-05-01,5000,Salary payment
8580-06-02,-3000,Rent payment
8580-07-05,-200,Grocery shopping
8580-09-03,-1000,Electricity bill
8580-10-07,2500,Client payment
8580-10-01,5000,Salary payment
8580-11-02,-3000,Rent payment
8580-12-05,-200,Grocery shopping
8581-02-03,-1000,Electricity bill
8581-03-07,2500,Client payment
8581-03-01,5000,Salary payment
8581-04-02,-3000,Rent payment
8581-05-05,-200,Grocery shopping
8581-07-03,-1000,Electricity bill
8581-08-07,2500,Client payment
8581-08-01,5000,Salary payment
8581-09-02,-3000,Rent payment
8581-10-05,-200,Grocery shopping
8581-12-03,-1000,Electricity bill
8582-01-07,2500,Client payment
8582-01-01,5000,Salary payment
8582-02-02,-3000,Rent payment
8582-03-05,-200,Grocery shopping
8582-05-03,-1000,Electricity bill
8582-06-07,2500,Client payment
8582-06-01,5000,Salary payment
8582-07-02,-3000,Rent payment
8582-08-05,-200,Grocery shopping
8582-10-03,-1000,Electricity bill
8582-11-07,2500,Client payment
8582-11-01,5000,Salary payment
8582-12-02,-3000,Rent payment
8583-01-05,-200,Grocery shopping
8583-03-03,-1000,Electricity bill
8583-04-07,2500,Client payment
8583-04-01,5000,Salary payment
8583-05-02,-3000,Rent payment
8583-06-05,-200,Grocery shopping
8583-08-03,-1000,Electricity bill
8583-09-07,2500,Client payment
8583-09-01,5000,Salary payment
8583-10-02,-3000,Rent payment
8583-11-05,-200,Grocery shopping
8584-01-03,-1000,Electricity bill
8584-02-07,2500,Client payment
8584-02-01,5000,Salary payment
8584-03-02,-3000,Rent payment
8584-04-05,-200,Grocery shopping
8584-06-03,-1000,Electricity bill
8584-07-07,2500,Client payment
8584-07-01,5000,Salary payment
8584-08-02,-3000,Rent payment
8584-09-05,-200,Grocery shopping
8584-11-03,-1000,Electricity bill
8584-12-07,2500,Client payment
8584-12-01,5000,Salary payment
8585-01-02,-3000,Rent payment
8585-02-05,-200,Grocery shopping
8585-04-03,-1000,Electricity bill
8585-05-07,2500,Client payment
8585-05-01,5000,Salary payment
8585-06-02,-3000,Rent payment
8585-07-05,-200,Grocery shopping
8585-09-03,-1000,Electricity bill
8585-10-07,2500,Client payment
8585-10-01,5000,Salary payment
8585-11-02,-3000,Rent payment
8585-12-05,-200,Grocery shopping
8586-02-03,-1000,Electricity bill
8586-03-07,2500,Client payment
8586-03-01,5000,Salary payment
8586-04-02,-3000,Rent payment
8586-05-05,-200,Grocery shopping
8586-07-03,-1000,Electricity bill
8586-08-07,2500,Client payment
8586-08-01,5000,Salary payment
8586-09-02,-3000,Rent payment
8586-10-05,-200,Grocery shopping
8586-12-03,-1000,Electricity bill
8587-01-07,2500,Client payment
8587-01-01,5000,Salary payment
8587-02-02,-3000,Rent payment
8587-03-05,-200,Grocery shopping
8587-05-03,-1000,Electricity bill
8587-06-07,2500,Client payment
8587-06-01,5000,Salary payment
8587-07-02,-3000,Rent payment
8587-08-05,-200,Grocery shopping
8587-10-03,-1000,Electricity bill
8587-11-07,2500,Client payment
8587-11-01,5000,Salary payment
8587-12-02,-3000,Rent payment
8588-01-05,-200,Grocery shopping
8588-03-03,-1000,Electricity bill
8588-04-07,2500,Client payment
8588-04-01,5000,Salary payment
8588-05-02,-3000,Rent payment
8588-06-05,-200,Grocery shopping
8588-08-03,-1000,Electricity bill
8588-09-07,2500,Client payment
8588-09-01,5000,Salary payment
8588-10-02,-3000,Rent payment
8588-11-05,-200,Grocery shopping
8589-01-03,-1000,Electricity bill
8589-02-07,2500,Client payment
8589-02-01,5000,Salary payment
8589-03-02,-3000,Rent payment
8589-04-05,-200,Grocery shopping
8589-06-03,-1000,Electricity bill
8589-07-07,2500,Client payment
8589-07-01,5000,Salary payment
8589-08-02,-3000,Rent payment
8589-09-05,-200,Grocery shopping
8589-11-03,-1000,Electricity bill
8589-12-07,2500,Client payment
8589-12-01,5000,Salary payment
8590-01-02,-3000,Rent payment
8590-02-05,-200,Grocery shopping
8590-04-03,-1000,Electricity bill
8590-05-07,2500,Client payment
8590-05-01,5000,Salary payment
8590-06-02,-3000,Rent payment
8590-07-05,-200,Grocery shopping
8590-09-03,-1000,Electricity bill
8590-10-07,2500,Client payment
8590-10-01,5000,Salary payment
8590-11-02,-3000,Rent payment
8590-12-05,-200,Grocery shopping
8591-02-03,-1000,Electricity bill
8591-03-07,2500,Client payment
8591-03-01,5000,Salary payment
8591-04-02,-3000,Rent payment
8591-05-05,-200,Grocery shopping
8591-07-03,-1000,Electricity bill
8591-08-07,2500,Client payment
8591-08-01,5000,Salary payment
8591-09-02,-3000,Rent payment
8591-10-05,-200,Grocery shopping
8591-12-03,-1000,Electricity bill
8592-01-07,2500,Client payment
8592-01-01,5000,Salary payment
8592-02-02,-3000,Rent payment
8592-03-05,-200,Grocery shopping
8592-05-03,-1000,Electricity bill
8592-06-07,2500,Client payment
8592-06-01,5000,Salary payment
8592-07-02,-3000,Rent payment
8592-08-05,-200,Grocery shopping
8592-10-03,-1000,Electricity bill
8592-11-07,2500,Client payment
8592-11-01,5000,Salary payment
8592-12-02,-3000,Rent payment
8593-01-05,-200,Grocery shopping
8593-03-03,-1000,Electricity bill
8593-04-07,2500,Client payment
8593-04-01,5000,Salary payment
8593-05-02,-3000,Rent payment
8593-06-05,-200,Grocery shopping
8593-08-03,-1000,Electricity bill
8593-09-07,2500,Client payment
8593-09-01,5000,Salary payment
8593-10-02,-3000,Rent payment
8593-11-05,-200,Grocery shopping
